Method,#Tree,Max_Depth,Mean_Acc,Mean_Time
brf,5,5,0.90503909643788,0.1668393135070801
brf,5,10,0.9067767158992179,0.1332714557647705
brf,5,15,0.9062554300608167,0.1437476634979248
brf,5,20,0.9006081668114684,0.17016661167144775
brf,5,25,0.903475238922676,0.1411504030227661
brf,5,30,0.9041702867072111,0.13598909378051757
brf,5,35,0.8968722849695917,0.13890743255615234
brf,5,40,0.8910512597741095,0.13750760555267333
brf,5,45,0.8944396177237184,0.13779075145721437
brf,5,50,0.8961772371850566,0.13767685890197753
brf,10,5,0.9123370981754995,0.29103190898895265
brf,10,10,0.9218071242397915,0.29406712055206297
brf,10,15,0.9181581233709817,0.30372979640960696
brf,10,20,0.9134665508253693,0.31061906814575196
brf,10,25,0.9142484795829713,0.31603877544403075
brf,10,30,0.914509122502172,0.3143057346343994
brf,10,35,0.9125977410947004,0.32805614471435546
brf,10,40,0.9158123370981756,0.3212124347686768
brf,10,45,0.9169417897480452,0.3154748439788818
brf,10,50,0.9152041702867072,0.3141419172286987
brf,15,5,0.9232841007819287,0.4684489965438843
brf,15,10,0.9246741963509992,0.6190524816513061
brf,15,15,0.9183318853171155,0.5953945636749267
brf,15,20,0.9196350999131191,0.7512044429779052
brf,15,25,0.9212858384013902,0.6068177461624146
brf,15,30,0.9228496959165943,0.6087778329849243
brf,15,35,0.9287576020851434,0.6410109758377075
brf,15,40,0.9205907906168548,0.5988510370254516
brf,15,45,0.9238053866203302,0.5633830308914185
brf,15,50,0.9186794092093831,0.5126088380813598
brf,20,5,0.9267593397046048,0.6825716733932495
brf,20,10,0.9279756733275413,0.7150318145751953
brf,20,15,0.9233709817549955,0.7852870225906372
brf,20,20,0.9268462206776714,0.7427013158798218
brf,20,25,0.9269331016507385,0.7547029733657837
brf,20,30,0.9239791485664639,0.761574101448059
brf,20,35,0.9188531711555168,0.7772755146026611
brf,20,40,0.9185925282363163,0.7443665742874146
brf,20,45,0.9196350999131189,0.7612765789031982
brf,20,50,0.9211989574283231,0.7802165508270263
brf,25,5,0.9318853171155517,0.9264526844024659
brf,25,10,0.9267593397046048,0.9750826120376587
brf,25,15,0.9275412684622069,0.9848035097122192
brf,25,20,0.9216333622936576,1.0261344909667969
brf,25,25,0.9259774109470026,1.026926040649414
brf,25,30,0.9214596003475238,1.0065496921539308
brf,25,35,0.9261511728931364,1.0350752830505372
brf,25,40,0.9179843614248482,1.050217866897583
brf,25,45,0.9263249348392701,1.0205673933029176
brf,25,50,0.9267593397046048,1.0538349866867065
brf,30,5,0.9251086012163336,1.1688449382781982
brf,30,10,0.9331016507384884,1.259156632423401
brf,30,15,0.9317984361424847,1.297883439064026
brf,30,20,0.9310165073848827,1.325251865386963
brf,30,25,0.9266724587315378,1.364100694656372
brf,30,30,0.9245004344048654,1.338101291656494
brf,30,35,0.9234578627280626,1.308420467376709
brf,30,40,0.919026933101651,1.2888355493545531
brf,30,45,0.9217202432667246,1.3226890087127685
brf,30,50,0.9230234578627281,1.3178941249847411
brf,35,5,0.929800173761946,1.5077481269836426
brf,35,10,0.9331016507384883,1.8071568489074707
brf,35,15,0.9335360556038227,2.1880462884902956
brf,35,20,0.9198088618592527,1.669795608520508
brf,35,25,0.9268462206776714,1.7744932174682617
brf,35,30,0.9260642919200694,1.9363196611404419
brf,35,35,0.9237185056472633,1.750638771057129
brf,35,40,0.92997393570808,1.647983455657959
brf,35,45,0.9291051259774111,1.64100821018219
brf,35,50,0.9283231972198088,1.7429721117019654
brf,40,5,0.92128583840139,1.8837576389312745
brf,40,10,0.9354474370112944,1.9081107378005981
brf,40,15,0.9347523892267594,1.954799747467041
brf,40,20,0.9230234578627281,1.9592874765396118
brf,40,25,0.9250217202432667,1.9838562726974487
brf,40,30,0.9288444830582101,1.9853825569152832
brf,40,35,0.9202432667245872,1.9172410488128662
brf,40,40,0.9202432667245874,1.9492214918136597
brf,40,45,0.924847958297133,2.0133898973464968
brf,40,50,0.9165073848827108,1.910663890838623
brf,45,5,0.929800173761946,2.4123482704162598
brf,45,10,0.93501303214596,2.5318613767623903
brf,45,15,0.9269331016507387,2.313693046569824
brf,45,20,0.9293657688966117,2.3415974140167237
brf,45,25,0.9267593397046048,2.25015070438385
brf,45,30,0.9233709817549958,2.521121954917908
brf,45,35,0.9158992180712424,2.7575743913650514
brf,45,40,0.9133796698523022,2.7847999334335327
brf,45,45,0.9234578627280626,2.6391412734985353
brf,45,50,0.9219808861859254,2.5541505813598633
brf,50,5,0.9317984361424848,2.888861632347107
brf,50,10,0.9228496959165943,3.336312937736511
brf,50,15,0.9285838401390094,2.9879349946975706
brf,50,20,0.9254561251086013,3.437398409843445
brf,50,25,0.9226759339704605,3.1145333528518675
brf,50,30,0.9245873153779322,2.9796896457672117
brf,50,35,0.9177237185056473,3.0619320631027223
brf,50,40,0.9260642919200694,3.056453561782837
brf,50,45,0.9218071242397914,2.646916937828064
brf,50,50,0.9264118158123372,2.6934900283813477
brf,55,5,0.9316246741963511,2.9544101476669313
brf,55,10,0.9387489139878367,3.1801489114761354
brf,55,15,0.9325803649000868,3.080640506744385
brf,55,20,0.9211120764552565,3.099484348297119
brf,55,25,0.9096437880104256,2.9757835149765013
brf,55,30,0.9201563857515204,3.1734707355499268
brf,55,35,0.9217202432667244,2.971854090690613
brf,55,40,0.9158992180712424,3.104667568206787
brf,55,45,0.9168549087749783,3.125333571434021
brf,55,50,0.9192006950477845,3.1935617446899416
brf,60,5,0.9342311033883579,4.022613286972046
brf,60,10,0.9372719374456994,3.8017836570739747
brf,60,15,0.9223284100781928,3.6806190490722654
brf,60,20,0.9275412684622069,3.6171693086624144
brf,60,25,0.9205039096437879,3.5156487703323362
brf,60,30,0.9143353605560381,3.393461298942566
brf,60,35,0.9199826238053866,3.4335755348205566
brf,60,40,0.9226759339704605,33.797285199165344
brf,60,45,0.923110338835795,3.8353153467178345
brf,60,50,0.9096437880104258,19.853523325920104
brf,65,5,0.9235447437011295,3.9871546745300295
brf,65,10,0.9324066029539532,4.167878866195679
brf,65,15,0.9289313640312772,4.07525224685669
brf,65,20,0.9251954821894005,3.923367142677307
brf,65,25,0.9102519548218941,3.981405782699585
brf,65,30,0.9144222415291052,3.897645950317383
brf,65,35,0.9294526498696787,12.94831030368805
brf,65,40,0.9132927888792353,125.38997478485108
brf,65,45,0.9039965247610773,4.097587418556214
brf,65,50,0.9152041702867072,3.893463134765625
brf,70,5,0.9377932232841006,4.599335193634033
brf,70,10,0.9318853171155517,4.726036214828492
brf,70,15,0.926585577758471,4.603975582122803
brf,70,20,0.9218071242397915,4.492240691184998
brf,70,25,0.9132927888792356,4.345543098449707
brf,70,30,0.9109470026064294,4.329572176933288
brf,70,35,0.9034752389226759,4.46706976890564
brf,70,40,0.9145960034752388,4.497145271301269
brf,70,45,0.91372719374457,4.55050151348114
brf,70,50,0.9039096437880104,4.329483866691589
brf,75,5,0.9319721980886186,5.3177124738693236
brf,75,10,0.9357949609035622,5.566195130348206
brf,75,15,0.9235447437011294,6.303818678855896
brf,75,20,0.9212858384013902,4.940079641342163
brf,75,25,0.9159860990443093,4.94587926864624
brf,75,30,0.9112076455256298,4.9874831438064575
brf,75,35,0.9218071242397915,4.9678345918655396
brf,75,40,0.9086880973066898,4.670212435722351
brf,75,45,0.9056472632493484,4.708532619476318
brf,75,50,0.9136403127715031,4.80583930015564
brf,80,5,0.9266724587315378,5.952787685394287
brf,80,10,0.9292788879235448,6.20936439037323
brf,80,15,0.9244135534317983,5.917420411109925
brf,80,20,0.9198957428323198,5.576885938644409
brf,80,25,0.9124239791485664,5.441779589653015
brf,80,30,0.9112076455256297,5.399083042144776
brf,80,35,0.9130321459600348,5.441517424583435
brf,80,40,0.8965247610773242,5.531459546089172
brf,80,45,0.9164205039096437,5.123139667510986
brf,80,50,0.9099044309296265,5.2183243989944454
brf,85,5,0.9261511728931365,6.565377926826477
brf,85,10,0.9349261511728931,6.793116354942322
brf,85,15,0.9301476976542137,6.811127495765686
brf,85,20,0.9245004344048654,6.397803735733032
brf,85,25,0.9155516941789749,5.961328983306885
brf,85,30,0.9172024326672459,6.303952097892761
brf,85,35,0.9087749782797566,6.185230827331543
brf,85,40,0.9013900955690703,5.889645767211914
brf,85,45,0.8977410947002606,5.858444738388061
brf,85,50,0.9198957428323198,5.959149265289307
brf,90,5,0.9285838401390094,7.458756828308106
brf,90,10,0.9293657688966117,7.960975551605225
brf,90,15,0.9318853171155517,7.291620373725891
brf,90,20,0.9217202432667246,7.201782655715943
brf,90,25,0.9094700260642921,7.122573256492615
brf,90,30,0.9172024326672459,6.835527729988098
brf,90,35,0.9059947871416162,6.957321357727051
brf,90,40,0.9173761946133796,6.688582468032837
brf,90,45,0.91876629018245,6.656313514709472
brf,90,50,0.9125108601216334,6.727503514289856
brf,95,5,0.9335360556038228,8.217388081550599
brf,95,10,0.9330147697654214,8.423420834541322
brf,95,15,0.9244135534317985,8.037503147125244
brf,95,20,0.9224152910512599,7.680761480331421
brf,95,25,0.9038227628149436,7.6283447504043576
brf,95,30,0.9023457862728061,7.438685131072998
brf,95,35,0.9081668114682886,7.474938321113586
brf,95,40,0.9178105994787142,7.30471704006195
brf,95,45,0.911989574283232,7.357254672050476
brf,95,50,0.908601216333623,7.30888979434967
brf,100,5,0.9279756733275413,9.576147627830505
brf,100,10,0.9336229365768898,9.63485939502716
brf,100,15,0.9264118158123372,8.660857939720154
brf,100,20,0.9183318853171156,8.688095307350158
brf,100,25,0.9046046915725455,7.722076368331909
brf,100,30,0.9198088618592528,8.667625665664673
brf,100,35,0.9079930495221546,8.81738522052765
brf,100,40,0.8943527367506515,8.142183208465577
brf,100,45,0.8934839270199827,8.302228379249573
brf,100,50,0.9082536924413553,8.353283524513245
brf,105,5,0.9233709817549958,10.910123181343078
brf,105,10,0.9340573414422242,10.866707634925842
brf,105,15,0.9240660295395309,9.985781383514404
brf,105,20,0.9220677671589922,9.75534815788269
brf,105,25,0.9021720243266724,8.95141360759735
brf,105,30,0.9095569070373589,8.98333511352539
brf,105,35,0.9073848827106865,9.268292546272278
brf,105,40,0.9035621198957429,8.93157103061676
brf,105,45,0.9028670721112075,9.090391182899475
brf,105,50,0.9145091225021721,8.897594141960145
brf,110,5,0.9311902693310165,11.539660024642945
brf,110,10,0.9319721980886186,12.043040537834168
brf,110,15,0.9200695047784535,10.531322622299195
brf,110,20,0.9091225021720243,9.602469897270202
brf,110,25,0.9149435273675065,10.009772133827209
brf,110,30,0.9172024326672459,9.743892049789428
brf,110,35,0.9082536924413553,10.190443754196167
brf,110,40,0.8979148566463945,9.648207759857177
brf,110,45,0.910947002606429,9.852742004394532
brf,110,50,0.8921807124239793,9.477196288108825
brf,115,5,0.9318853171155517,15.436162543296813
brf,115,10,0.9318853171155516,15.394274926185608
brf,115,15,0.9173761946133796,13.806134724617005
brf,115,20,0.9198957428323196,12.192810654640198
brf,115,25,0.9087749782797567,11.890997052192688
brf,115,30,0.8981754995655953,12.060869884490966
brf,115,35,0.8986099044309297,11.869986629486084
brf,115,40,0.9033883579496089,11.006327247619629
brf,115,45,0.9133796698523022,12.012550759315491
brf,115,50,0.909383145091225,11.770310974121093
brf,120,5,0.9267593397046048,17.752183437347412
brf,120,10,0.9184187662901824,16.17870271205902
brf,120,15,0.9241529105125975,14.572242999076844
brf,120,20,0.9171155516941789,13.460578417778015
brf,120,25,0.9114682884448305,13.257246208190917
brf,120,30,0.9078192875760209,13.550275588035584
brf,120,35,0.9164205039096439,13.260924553871154
brf,120,40,0.8958297132927889,13.77798945903778
brf,120,45,0.9071242397914856,13.783498167991638
brf,120,50,0.8983492615117289,13.388423562049866
brf,125,5,0.925629887054735,17.87784218788147
brf,125,10,0.9320590790616856,17.139740085601808
brf,125,15,0.9278019113814076,14.320680284500122
brf,125,20,0.9167680278019112,13.361198282241821
brf,125,25,0.9029539530842745,12.483086585998535
brf,125,30,0.8967854039965248,12.712988686561584
brf,125,35,0.8900955690703736,12.523154950141906
brf,125,40,0.8907906168549088,12.160988688468933
brf,125,45,0.8953084274543872,12.968615412712097
brf,125,50,0.9098175499565594,13.004024600982666
brf,130,5,0.9258036490008689,17.70130858421326
brf,130,10,0.936837532580365,18.16219058036804
brf,130,15,0.9189400521285837,15.285156488418579
brf,130,20,0.917984361424848,14.435572624206543
brf,130,25,0.9006950477845352,13.763530588150024
brf,130,30,0.8916594265855778,14.482173013687134
brf,130,35,0.8992180712423978,13.516050124168396
brf,130,40,0.9072980017376194,13.664522457122803
brf,130,45,0.9002606429192006,13.626163363456726
brf,130,50,0.8977410947002606,13.179382157325744
brf,135,5,0.9266724587315377,20.06380088329315
brf,135,10,0.9306689834926152,20.597374582290648
brf,135,15,0.9260642919200694,17.289312410354615
brf,135,20,0.9213727193744571,15.542641377449035
brf,135,25,0.9003475238922676,15.042522430419922
brf,135,30,0.910165073848827,14.37460298538208
brf,135,35,0.9134665508253692,15.14747428894043
brf,135,40,0.8980017376194613,14.741875886917114
brf,135,45,0.8946133796698523,14.315821123123168
brf,135,50,0.8785403996524762,13.986189246177673
brf,140,5,0.9212858384013902,21.479998898506164
brf,140,10,0.9321459600347524,21.743476104736327
brf,140,15,0.9234578627280625,18.483338141441344
brf,140,20,0.9208514335360556,15.853023552894593
brf,140,25,0.9011294526498699,15.886356520652772
brf,140,30,0.8981754995655951,15.134086871147156
brf,140,35,0.8711555169417897,14.518351769447326
brf,140,40,0.8767158992180712,15.413547015190124
brf,140,45,0.8900955690703736,14.767343449592591
brf,140,50,0.9039096437880104,15.835038256645202
brf,145,5,0.9292788879235447,24.11517713069916
brf,145,10,0.9322328410078192,23.783004570007325
brf,145,15,0.9202432667245872,18.923958802223204
brf,145,20,0.8966985230234579,16.923003053665163
brf,145,25,0.898436142484796,16.081102752685545
brf,145,30,0.8942658557775849,17.56420500278473
brf,145,35,0.882884448305821,16.610634541511537
brf,145,40,0.9066898349261511,17.10501902103424
brf,145,45,0.8948740225890528,16.74110379219055
brf,145,50,0.8938314509122502,16.39636116027832
brf,150,5,0.9260642919200694,25.7158385515213
brf,150,10,0.9327541268462207,25.899453544616698
brf,150,15,0.9161598609904431,20.12953100204468
brf,150,20,0.9103388357949609,17.714323425292967
brf,150,25,0.8909643788010426,17.728050208091737
brf,150,30,0.9075586446568202,18.078997874259947
brf,150,35,0.9072980017376194,17.20136139392853
brf,150,40,0.8834926151172894,17.509826397895814
brf,150,45,0.8880973066898349,18.71544568538666
brf,150,50,0.8788879235447435,17.721954011917113
